time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/value_loss,train/clip_fraction,train/entropy_loss,train/n_updates,train/explained_variance,train/clip_range,train/std,train/loss,train/approx_kl,train/learning_rate,train/policy_gradient_loss
2048,634,3,1,,,,,,,,,,,
4096,585,6,2,102036.35090332032,0.110009765625,-14.198768094182014,10,1.7762184143066406e-05,0.2,1.0012657642364502,50317.4765625,0.009082105,0.0003,-0.023458599123114255
6144,564,10,3,92021.95739746094,0.066455078125,-14.213989329338073,20,-0.007404923439025879,0.2,1.0034849643707275,51464.21875,0.007840883,0.0003,-0.015820290679403114
8192,546,14,4,63786.024914550784,0.021142578125,-14.222468647360802,30,0.015249669551849365,0.2,1.0031317472457886,33741.32421875,0.005323753,0.0003,-0.010281286176177674
10240,532,19,5,61463.1625,0.088427734375,-14.216198807954788,40,0.005973517894744873,0.2,1.002372145652771,34912.48046875,0.008998334,0.0003,-0.018447671236936004
12288,518,23,6,66253.38193359374,0.102099609375,-14.224330860376359,50,0.002488434314727783,0.2,1.0041499137878418,32186.505859375,0.010233721,0.0003,-0.02275223998876754
14336,507,28,7,81880.13508300782,0.099951171875,-14.244363543391227,60,-0.0010001659393310547,0.2,1.0069025754928589,41822.71484375,0.008809436,0.0003,-0.023083088506245984
16384,496,32,8,62490.50092773438,0.122314453125,-14.244312399625779,70,-2.300739288330078e-05,0.2,1.0042086839675903,30268.625,0.010772847,0.0003,-0.02525234554268536
18432,486,37,9,90367.84545898438,0.077978515625,-14.254624131321908,80,-3.62396240234375e-05,0.2,1.0083736181259155,45868.33203125,0.007849901,0.0003,-0.01811023796326481
20480,477,42,10,89489.05212402344,0.131298828125,-14.280191639065743,90,0.00012600421905517578,0.2,1.0099833011627197,45708.53515625,0.01170867,0.0003,-0.024729132860375102
22528,468,48,11,68922.98723144531,0.122705078125,-14.273559817671776,100,0.00024777650833129883,0.2,1.0076627731323242,35932.6171875,0.010962418,0.0003,-0.02579359824885614
24576,459,53,12,84564.6865234375,0.0837890625,-14.266469958424569,110,0.0001195669174194336,0.2,1.0077166557312012,40924.9140625,0.0082248375,0.0003,-0.020964325602108147
26624,451,59,13,88387.08024902343,0.104052734375,-14.279948776960373,120,5.930662155151367e-05,0.2,1.0105680227279663,44761.828125,0.010290542,0.0003,-0.024392978711694012
28672,443,64,14,83307.1525390625,0.0841796875,-14.30091136097908,130,-0.001083970069885254,0.2,1.0118414163589478,35961.83203125,0.008565155,0.0003,-0.023596141951566098
30720,435,70,15,68543.27587890625,0.132861328125,-14.312703457474708,140,7.551908493041992e-05,0.2,1.0124828815460205,30649.48828125,0.011015778,0.0003,-0.02966878524166532
32768,427,76,16,70544.6196899414,0.130322265625,-14.309481099247932,150,2.7239322662353516e-05,0.2,1.0118138790130615,39312.00390625,0.010791886,0.0003,-0.027885158016579224
34816,420,82,17,81014.11782226563,0.103466796875,-14.284580984711647,160,2.187490463256836e-05,0.2,1.008000373840332,41368.3046875,0.010071119,0.0003,-0.0263564749940997
36864,413,89,18,76931.9571899414,0.109716796875,-14.262791812419891,170,0.0012207627296447754,0.2,1.0075422525405884,41260.91015625,0.010554452,0.0003,-0.02581678376591299
38912,406,95,19,75162.08286132812,0.111376953125,-14.266775381565093,180,2.4199485778808594e-05,0.2,1.008086919784546,38133.265625,0.010777464,0.0003,-0.026636441401205958
40960,399,102,20,63839.99188232422,0.122119140625,-14.26585312783718,190,7.62939453125e-06,0.2,1.007733702659607,32626.14453125,0.012061289,0.0003,-0.030162111326353623
43008,393,109,21,76205.41750488282,0.133984375,-14.303514954447746,200,-8.344650268554688e-07,0.2,1.0150117874145508,36603.96875,0.011719949,0.0003,-0.029237844377348665
45056,386,116,22,84117.90510253907,0.11015625,-14.358465695381165,210,-1.1324882507324219e-05,0.2,1.0192192792892456,43363.828125,0.010881673,0.0003,-0.026441904169041665
47104,380,123,23,72546.04962158203,0.117041015625,-14.394934356212616,220,2.5033950805664062e-06,0.2,1.022850513458252,38434.671875,0.011298063,0.0003,-0.026672590043745004
49152,374,131,24,59613.149243164065,0.132275390625,-14.429294800758361,230,-6.496906280517578e-05,0.2,1.0253939628601074,28609.67578125,0.0119808465,0.0003,-0.029565133125288412
51200,368,139,25,96872.26740722657,0.112646484375,-14.440614169836044,240,-4.76837158203125e-07,0.2,1.0259019136428833,50429.9921875,0.010454424,0.0003,-0.02577163332462078
53248,362,146,26,70507.75750732422,0.13623046875,-14.444667914509774,250,9.5367431640625e-07,0.2,1.0260279178619385,31114.728515625,0.01336163,0.0003,-0.03230434626457281
55296,356,155,27,57778.87502441406,0.135986328125,-14.455747628211975,260,1.1920928955078125e-06,0.2,1.0283102989196777,28950.603515625,0.01251431,0.0003,-0.032601173166767694
57344,350,163,28,65236.04422607422,0.13427734375,-14.478860595822335,270,-5.245208740234375e-06,0.2,1.0303462743759155,34283.7578125,0.012216611,0.0003,-0.03236942182120402
59392,344,172,29,77383.22766113281,0.113623046875,-14.491862958669662,280,9.5367431640625e-06,0.2,1.0326824188232422,37305.12109375,0.011548064,0.0003,-0.02702779915271094
61440,339,180,30,81463.24932861328,0.128369140625,-14.524051547050476,290,-0.0002580881118774414,0.2,1.0357493162155151,39302.63671875,0.012300741,0.0003,-0.03034474198357202
63488,333,190,31,71401.21342773437,0.1376953125,-14.547084668278695,300,-0.0033189058303833008,0.2,1.038236379623413,34315.65234375,0.011839311,0.0003,-0.03074957619246561
65536,328,199,32,70678.13532714844,0.11884765625,-14.570603215694428,310,-4.291534423828125e-06,0.2,1.040025234222412,35960.6875,0.011812383,0.0003,-0.027309318910192816
67584,322,209,33,55554.901794433594,0.1458984375,-14.58818898499012,320,0.00010371208190917969,0.2,1.042494535446167,26034.603515625,0.013810473,0.0003,-0.031217229063622655
69632,317,219,34,69077.4017578125,0.155419921875,-14.612880077958106,330,-0.007647037506103516,0.2,1.0457531213760376,32416.880859375,0.014672837,0.0003,-0.03240728007076541
71680,312,229,35,75030.27392578125,0.1283203125,-14.623047748208046,340,-4.76837158203125e-07,0.2,1.0450769662857056,36595.41015625,0.011644492,0.0003,-0.02700342103053117
73728,306,240,36,56478.97794189453,0.1576171875,-14.616834989190101,350,-4.76837158203125e-07,0.2,1.0443400144577026,24933.345703125,0.013822144,0.0003,-0.034562688021105716
75776,301,250,37,66140.27276611328,0.136962890625,-14.624681967496873,360,1.3709068298339844e-06,0.2,1.0460872650146484,36564.00390625,0.01299623,0.0003,-0.03182717551535461
77824,297,261,38,73867.91568603515,0.12724609375,-14.630131477117539,370,-3.5762786865234375e-07,0.2,1.046164870262146,45164.12109375,0.012185585,0.0003,-0.028802841050492134
79872,291,273,39,80987.31638183593,0.109130859375,-14.669784715771675,380,0.0,0.2,1.0535178184509277,44165.828125,0.012598169,0.0003,-0.027569777084863745
81920,286,286,40,59707.17092285156,0.15029296875,-14.7184445977211,390,-1.1920928955078125e-07,0.2,1.0566763877868652,28166.310546875,0.014113646,0.0003,-0.03144724938465515
83968,280,299,41,62706.558093261716,0.162548828125,-14.754108288884163,400,0.0037841796875,0.2,1.0609352588653564,28014.966796875,0.015469732,0.0003,-0.0331300107689458
86016,275,312,42,46969.469891357425,0.1541015625,-14.768542298674584,410,-9.5367431640625e-07,0.2,1.0613481998443604,23481.833984375,0.01435098,0.0003,-0.03137864055170212
88064,270,325,43,46513.11176757813,0.15419921875,-14.788489961624146,420,-0.001070261001586914,0.2,1.0640290975570679,24010.251953125,0.013800049,0.0003,-0.03418635514535708
90112,265,338,44,53748.33763427734,0.1529296875,-14.818752577900886,430,-4.76837158203125e-07,0.2,1.0683318376541138,27034.1875,0.015315808,0.0003,-0.030978937276813667
92160,261,352,45,76557.94289550782,0.157421875,-14.8544821113348,440,2.980232238769531e-07,0.2,1.0725451707839966,41158.99609375,0.014128074,0.0003,-0.03123366455110954
94208,256,367,46,71544.49833984375,0.12333984375,-14.892641898989677,450,1.055002212524414e-05,0.2,1.077087640762329,41625.50390625,0.012039643,0.0003,-0.027468476248031948
