time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/value_loss,train/learning_rate,train/loss,train/std,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/n_updates,train/clip_range,train/approx_kl,train/explained_variance
1,2048,282,7,,,,,,,,,,,
2,4096,556,7,1930.905418395996,0.0003,730.1878662109375,1.0012338161468506,-0.020555638440418987,-14.192254376411437,0.113818359375,10,0.2,0.01020625,0.005736649036407471
3,6144,835,7,1342.7449108123778,0.0003,622.6661376953125,0.9985882639884949,-0.01685997194290394,-14.186908647418022,0.087353515625,20,0.2,0.009590536,0.2650156021118164
4,8192,1115,7,1040.7131660461425,0.0003,377.5636291503906,0.9945522546768188,-0.015454378272988834,-14.157275232672692,0.0767578125,30,0.2,0.00860573,0.17675799131393433
5,10240,1393,7,804.1187039375305,0.0003,318.908447265625,0.9933201670646667,-0.02054643367882818,-14.126705467700958,0.113818359375,40,0.2,0.010245168,0.15189588069915771
6,12288,1671,7,658.6187894821167,0.0003,208.76470947265625,0.9950777292251587,-0.023078785685356706,-14.133092138171197,0.1228515625,50,0.2,0.010966414,0.21344679594039917
7,14336,1944,7,536.7065618515014,0.0003,191.8161163330078,0.9983609318733215,-0.021275526689714754,-14.15574461221695,0.101318359375,60,0.2,0.009990588,0.30505818128585815
8,16384,2213,7,474.0934371471405,0.0003,258.32391357421875,0.9998835325241089,-0.02248201120237354,-14.181414538621903,0.10244140625,70,0.2,0.010751204,0.3902393579483032
9,18432,2484,7,338.75116138458253,0.0003,222.18130493164062,0.9997479319572449,-0.01829740906105144,-14.183644598722458,0.105029296875,80,0.2,0.009763172,0.49333465099334717
10,20480,2758,7,314.8268338680267,0.0003,160.5410919189453,1.000359058380127,-0.022653362168057356,-14.18731689453125,0.1314453125,90,0.2,0.012306879,0.5493172407150269
11,22528,3038,7,287.29099931716917,0.0003,126.02750396728516,0.999944806098938,-0.026782672239642126,-14.190218758583068,0.17314453125,100,0.2,0.015776403,0.580967366695404
