time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/learning_rate,train/entropy_loss,train/loss,train/explained_variance,rollout/ep_len_mean,train/std,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/clip_range,rollout/ep_rew_mean,train/clip_fraction,train/n_updates
1,753,0,512,,,,,,,,,,,,,
2,611,1,1024,0.0003,-14.213273191452027,449.1015319824219,-0.000935673713684082,1000.0,1.0039513111114502,0.009403238,-0.0058242665720172225,996.7740447998046,0.2,2008.50562,0.046875,5
3,622,2,1536,0.0003,-14.231202864646912,391.0235290527344,-0.0004775524139404297,1000.0,1.0037883520126343,0.011858715,-0.010669288272038103,904.3129623413085,0.2,2008.50562,0.08203125,10
4,628,3,2048,0.0003,-14.232884502410888,429.8323059082031,-0.0009804964065551758,1000.0,1.0053656101226807,0.007707381,-0.006501937215216458,917.0968292236328,0.2,2012.47715,0.032421875,15
5,630,4,2560,0.0003,-14.247546219825745,409.02191162109375,-0.002094864845275879,1000.0,1.006307601928711,0.008409678,-0.008067217256757431,866.304029083252,0.2,2012.47715,0.04453125,20
6,634,4,3072,0.0003,-14.250340223312378,436.7773742675781,-0.0018544197082519531,1000.0,1.0060869455337524,0.009564945,-0.009840863640420139,899.6417999267578,0.2,2012.4901229999998,0.066015625,25
7,638,5,3584,0.0003,-14.258341741561889,398.1705627441406,-0.0039250850677490234,1000.0,1.0080668926239014,0.0071509075,-0.005260031612124294,832.3771720886231,0.2,2012.4901229999998,0.027734375,30
8,642,6,4096,0.0003,-14.262881445884705,425.2400817871094,-0.0002238750457763672,1000.0,1.0066249370574951,0.009708434,-0.008718580059939996,879.0487487792968,0.2,2013.9035165,0.06171875,35
9,645,7,4608,0.0003,-14.267220103740692,392.341796875,-0.005164623260498047,1000.0,1.0096179246902466,0.009300076,-0.008216280414490029,803.6194686889648,0.2,2013.9035165,0.053515625,40
10,645,7,5120,0.0003,-14.283896815776824,393.8294982910156,-0.0009216070175170898,1000.0,1.0091694593429565,0.012022316,-0.009034736338071525,837.5459854125977,0.2,2014.0292454000003,0.082421875,45
