time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/policy_gradient_loss,train/clip_range,train/value_loss,train/std,train/n_updates,train/learning_rate,train/loss,train/entropy_loss,train/clip_fraction,train/approx_kl,train/explained_variance
1,2048,4,504,,,,,,,,,,,
2,4096,9,451,-0.0390092767047463,0.2,0.1250590856769122,1.003032922744751,10,0.0003,-0.17923401296138763,-14.206927958130837,0.176904296875,0.01613802,-5.832605361938477
3,6144,13,439,-0.039964466023957354,0.2,0.053553052854840646,1.0011781454086304,20,0.0003,-0.1711197793483734,-14.206403356790542,0.13525390625,0.013956668,-0.9592458009719849
4,8192,19,424,-0.042075478660990484,0.2,0.033624764598789623,1.009240746498108,30,0.0003,-0.20116785168647766,-14.248628002405166,0.176611328125,0.017763514,-0.6779353618621826
5,10240,24,413,-0.045369629451306535,0.2,0.03467195654520765,1.0074533224105835,40,0.0003,-0.20362254977226257,-14.26880885362625,0.177392578125,0.016808096,-0.3119990825653076
6,12288,30,408,-0.0435902890865691,0.2,0.03605425014975481,1.0095595121383667,50,0.0003,-0.1809508353471756,-14.27569263279438,0.171923828125,0.018163405,-0.187292218208313
7,14336,35,403,-0.03786270538694225,0.2,0.24166614231071434,1.0101685523986816,60,0.0003,-0.2001703679561615,-14.280790677666664,0.1703125,0.016924838,-0.03215038776397705
8,16384,41,396,-0.04320469874073751,0.2,0.1105230467452202,1.0082043409347534,70,0.0003,-0.18041110038757324,-14.264954617619514,0.1830078125,0.01737447,-0.13808608055114746
9,18432,47,388,-0.050699941313359885,0.2,0.04439839036203921,1.0107401609420776,80,0.0003,-0.22035561501979828,-14.281797942519187,0.2103515625,0.01996025,-0.19416725635528564
10,20480,53,381,-0.04713059021451045,0.2,0.03239333992823958,1.0077275037765503,90,0.0003,-0.20206007361412048,-14.266511189937592,0.192333984375,0.019147793,-0.1578909158706665
11,22528,59,375,-0.05757965049997438,0.2,0.01498821932618739,1.0094935894012451,100,0.0003,-0.22925016283988953,-14.269554117321968,0.22470703125,0.023079125,-0.3300985097885132
12,24576,66,369,-0.04288482151750941,0.2,0.06842704131559003,1.014879584312439,110,0.0003,-0.07147721946239471,-14.303300398588181,0.20068359375,0.021174695,0.0652509331703186
13,26624,73,362,-0.04772266515938099,0.2,0.04258662940410431,1.0146697759628296,120,0.0003,-0.18700584769248962,-14.329401263594628,0.201318359375,0.01992936,-0.054956912994384766
14,28672,80,357,-0.039588493382325396,0.2,0.19207209993328433,1.0202339887619019,130,0.0003,-0.18464773893356323,-14.354816243052483,0.206640625,0.020483833,0.05669093132019043
15,30720,87,352,-0.04468526647833641,0.2,0.18494526923750526,1.0224217176437378,140,0.0003,-0.08121100068092346,-14.398449525237083,0.217626953125,0.020861343,0.16488885879516602
16,32768,94,347,-0.056905469739285765,0.2,0.0529660651285667,1.0225330591201782,150,0.0003,-0.2400934100151062,-14.407821092009545,0.229150390625,0.02223243,0.5304605066776276
17,34816,101,342,-0.04451126754283905,0.2,0.15701159447198734,1.02415132522583,160,0.0003,-0.043745920062065125,-14.41078748703003,0.200390625,0.01980488,0.3368661403656006
18,36864,110,334,-0.05364406688313465,0.2,0.08676488733617589,1.0228217840194702,170,0.0003,-0.1792302280664444,-14.412486091256142,0.23759765625,0.024454292,0.34315913915634155
19,38912,118,329,-0.057191518286708744,0.2,0.04216986513056327,1.0237436294555664,180,0.0003,-0.20595328509807587,-14.409643277525902,0.246728515625,0.02464389,0.25633883476257324
20,40960,126,324,-0.05287455600337125,0.2,0.06039822691818699,1.0233179330825806,190,0.0003,-0.21577584743499756,-14.410525161027909,0.246337890625,0.026183981,0.40023964643478394
21,43008,136,315,-0.048856265892391094,0.2,0.08591479995229748,1.0279196500778198,200,0.0003,-0.13814419507980347,-14.431545466184616,0.248828125,0.024543453,0.38049185276031494
22,45056,145,310,-0.04751716479950119,0.2,0.14995377919403835,1.0298460721969604,210,0.0003,-0.13261914253234863,-14.465768977999687,0.24716796875,0.024428148,0.23390716314315796
23,47104,154,305,-0.05758459257776849,0.2,0.05582736252108589,1.0354225635528564,220,0.0003,-0.19463986158370972,-14.508971732854842,0.25634765625,0.026379772,0.3726314306259155
24,49152,163,301,-0.048746203753398734,0.2,0.11066457479610108,1.0381035804748535,230,0.0003,-0.2119525820016861,-14.538814383745194,0.246826171875,0.024201807,0.22948545217514038
25,51200,172,297,-0.05088317222543992,0.2,0.04793001250363886,1.0400489568710327,240,0.0003,-0.1876305639743805,-14.563127574324607,0.247314453125,0.027117655,0.32977932691574097
26,53248,181,292,-0.05125690480927005,0.2,0.08287755677301903,1.0448447465896606,250,0.0003,-0.2342003881931305,-14.590774649381638,0.2724609375,0.030465173,0.19865655899047852
27,55296,195,283,-0.0488433595513925,0.2,0.07668430425983389,1.0466126203536987,260,0.0003,-0.20907680690288544,-14.6212795317173,0.2625,0.026575502,0.2915005087852478
28,57344,207,276,-0.060457346252223945,0.2,0.045016956035397016,1.047322154045105,270,0.0003,-0.21861156821250916,-14.63765920996666,0.275634765625,0.029747773,0.37161219120025635
29,59392,218,271,-0.0555012234748574,0.2,0.03861305427853949,1.0498336553573608,280,0.0003,-0.20166541635990143,-14.657452434301376,0.276708984375,0.028595388,0.3305099606513977
30,61440,230,266,-0.053775968682020905,0.2,0.03238306863349862,1.0564453601837158,290,0.0003,-0.19878005981445312,-14.688046270608902,0.25498046875,0.030068694,0.36253273487091064
31,63488,241,262,-0.054087873391108585,0.2,0.05224691057228483,1.0569286346435547,300,0.0003,-0.2066633254289627,-14.727271184325218,0.264208984375,0.027968585,0.3797863721847534
