time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/value_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/entropy_loss,train/loss,train/approx_kl,train/clip_range,train/std,train/policy_gradient_loss,train/explained_variance
1,489,4,2048,,,,,,,,,,,
2,432,9,4096,0.13292846099939198,0.147021484375,10,0.0003,-14.205440732836724,-0.18703612685203552,0.014539434,0.2,1.0027878284454346,-0.03796081741747912,-6.753322601318359
3,422,14,6144,0.24439901631558314,0.151416015625,20,0.0003,-14.214535415172577,-0.06294002383947372,0.015153484,0.2,1.0027340650558472,-0.037913142069010065,-0.19731378555297852
4,417,19,8192,0.14840417377417908,0.17646484375,30,0.0003,-14.216813951730728,-0.14874738454818726,0.015567884,0.2,1.00444495677948,-0.04186853668652475,-0.21180438995361328
5,409,25,10240,0.13524464684305712,0.1763671875,40,0.0003,-14.22826699912548,-0.0823126956820488,0.016999893,0.2,1.0052815675735474,-0.03975298450095579,-0.17509126663208008
6,402,30,12288,0.06298040665569715,0.1837890625,50,0.0003,-14.221990951895714,-0.18774855136871338,0.01693609,0.2,1.00223970413208,-0.046170178402098826,-0.24356603622436523
7,396,36,14336,0.08958479289140087,0.198583984375,60,0.0003,-14.226201698184013,-0.14591561257839203,0.020095788,0.2,1.0052472352981567,-0.043995010887738314,-0.101601243019104
8,387,42,16384,0.02026240746345138,0.1859375,70,0.0003,-14.235339552164078,-0.21636299788951874,0.017890941,0.2,1.00453519821167,-0.052306915476219726,-0.9823397397994995
9,379,48,18432,0.13569567682570777,0.180712890625,80,0.0003,-14.251108774542809,-0.18809399008750916,0.019838318,0.2,1.008777141571045,-0.04250636496872175,-0.026038408279418945
10,374,54,20480,0.25138464804040267,0.213134765625,90,0.0003,-14.271544852852822,-0.009492024779319763,0.021421857,0.2,1.0086065530776978,-0.047379086067667234,-0.013561248779296875
11,368,61,22528,0.03608875986537896,0.211767578125,100,0.0003,-14.26316570341587,-0.20103925466537476,0.019536149,0.2,1.0065441131591797,-0.05118225986079779,-0.7315338850021362
12,364,67,24576,0.0647764063149225,0.242333984375,110,0.0003,-14.264297112822533,-0.15158197283744812,0.024705566,0.2,1.0096209049224854,-0.05026162967551499,-0.1044543981552124
13,358,74,26624,0.1776815120043466,0.22138671875,120,0.0003,-14.304192489385605,0.007029205560684204,0.023382777,0.2,1.0152114629745483,-0.041862875845981765,0.0052748918533325195
14,353,81,28672,0.039219022294855674,0.229248046875,130,0.0003,-14.32807470858097,-0.23079140484333038,0.023885641,0.2,1.0131889581680298,-0.05536952181719244,-0.213608980178833
