time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/learning_rate,train/std,train/entropy_loss,train/n_updates,train/explained_variance,train/value_loss,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/loss
4,461,1,2048,,,,,,,,,,,
9,431,2,4096,0.0003,1.0055614709854126,-14.226504015922547,10,-0.0002294778823852539,136080.76359863282,0.1072265625,0.2,-0.022168735184823162,0.009471082,70131.3125
14,421,3,6144,0.0003,1.0058730840682983,-14.245661413669586,20,0.00400465726852417,88828.83376464844,0.080322265625,0.2,-0.01681081236456521,0.008127268,39819.38671875
19,410,4,8192,0.0003,1.0064823627471924,-14.252521964907647,30,0.006051778793334961,90819.70048828125,0.03896484375,0.2,-0.011995097764884121,0.006701342,45023.55078125
25,402,5,10240,0.0003,1.0072611570358276,-14.258580499887467,40,0.0012742877006530762,100663.94377441406,0.08828125,0.2,-0.020004865209921265,0.009769953,45710.77734375
31,393,6,12288,0.0003,1.0055351257324219,-14.252865973114968,50,0.0025863051414489746,87321.33677978515,0.086376953125,0.2,-0.01949579512292985,0.008839856,43467.98046875
37,385,7,14336,0.0003,1.0087727308273315,-14.262534227967262,60,0.002406597137451172,105330.00236816406,0.087353515625,0.2,-0.01979122949123848,0.008457991,53778.4296875
43,378,8,16384,0.0003,1.0112621784210205,-14.291274961829185,70,0.007522284984588623,93840.60815429688,0.093798828125,0.2,-0.022902658315433654,0.009207139,46430.48828125
49,370,9,18432,0.0003,1.013580560684204,-14.313680702447892,80,-0.00020134449005126953,83696.38187255859,0.103515625,0.2,-0.0216846091527259,0.010355298,40449.1875
56,361,10,20480,0.0003,1.0155349969863892,-14.336175465583802,90,0.00010782480239868164,77183.32532958985,0.1033203125,0.2,-0.023646948055829852,0.009213206,39128.9296875
64,351,11,22528,0.0003,1.0140808820724487,-14.335006707906723,100,-5.459785461425781e-05,102309.62978515626,0.08583984375,0.2,-0.020693216580548325,0.0083565265,47178.484375
71,342,12,24576,0.0003,1.0166727304458618,-14.344660845398902,110,-5.841255187988281e-05,70670.17104492188,0.123193359375,0.2,-0.02656921438174322,0.011284998,32101.509765625
79,334,13,26624,0.0003,1.0186755657196045,-14.36591508090496,120,3.904104232788086e-05,97699.57724609374,0.10859375,0.2,-0.02344394250831101,0.01066895,49980.29296875
86,331,14,28672,0.0003,1.0186489820480347,-14.376231589913369,130,-0.00032401084899902344,90094.09638671875,0.11796875,0.2,-0.02828603870002553,0.010837884,50763.0625
93,328,15,30720,0.0003,1.0164985656738281,-14.35834321975708,140,-0.00010526180267333984,102205.55378417969,0.078076171875,0.2,-0.02085642489400925,0.00851498,48374.76171875
100,325,16,32768,0.0003,1.0191313028335571,-14.364831489324569,150,-2.9206275939941406e-05,95804.029296875,0.118701171875,0.2,-0.027573909462080336,0.01093561,56339.76171875
108,322,17,34816,0.0003,1.0176647901535034,-14.367593744397164,160,-0.000988006591796875,69904.34229736328,0.1298828125,0.2,-0.028940621408401056,0.012028419,28525.978515625
115,318,18,36864,0.0003,1.0179985761642456,-14.36181207895279,170,-0.00018596649169921875,80731.824609375,0.1078125,0.2,-0.02815138581208885,0.0109006725,33834.9921875
123,314,19,38912,0.0003,1.0224136114120483,-14.395103484392166,180,-0.0002740621566772461,67697.32438964843,0.158544921875,0.2,-0.03374336912675062,0.014355568,36506.38671875
131,310,20,40960,0.0003,1.0257622003555298,-14.430370503664017,190,6.973743438720703e-06,76629.87360839844,0.13037109375,0.2,-0.030366530720493758,0.011573456,36991.66796875
