time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/explained_variance,train/learning_rate,train/loss,train/n_updates,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/std,train/value_loss,train/clip_fraction,train/approx_kl
2048,4,1,478,,,,,,,,,,,
4096,9,2,443,0.00019121170043945312,0.0003,47177.75390625,10,0.2,-0.0223925363534363,-14.204569900035859,1.0022863149642944,93838.93659667969,0.103076171875,0.00977839
6144,14,3,427,0.003460526466369629,0.0003,35845.84765625,20,0.2,-0.019835539755877107,-14.206427249312402,1.0013808012008667,91985.45040283204,0.088525390625,0.008135667
8192,19,4,412,0.003692448139190674,0.0003,48964.328125,30,0.2,-0.0146454793313751,-14.209571984410285,1.0029407739639282,91900.75788574219,0.053662109375,0.008210027
10240,25,5,405,0.010768890380859375,0.0003,52470.953125,40,0.2,-0.010046292957849801,-14.214124634861946,1.0018635988235474,103510.04963378907,0.029052734375,0.006465528
12288,30,6,399,0.0030738115310668945,0.0003,31565.693359375,50,0.2,-0.02091478049987927,-14.20703632235527,1.0016504526138306,62794.60035400391,0.102099609375,0.010709638
14336,36,7,392,0.0007820725440979004,0.0003,52506.1953125,60,0.2,-0.016600302371080032,-14.226691046357155,1.006027340888977,94646.3484375,0.072265625,0.0077520213
16384,42,8,386,-0.00015401840209960938,0.0003,34471.08203125,70,0.2,-0.022823382361093537,-14.259082838892937,1.0076442956924438,80856.54588623047,0.102392578125,0.010296319
18432,48,9,380,-6.902217864990234e-05,0.0003,29632.095703125,80,0.2,-0.02410722710483242,-14.244903817772865,1.0039399862289429,75879.19405517579,0.11630859375,0.01025274
20480,54,10,373,-6.079673767089844e-06,0.0003,48326.69140625,90,0.2,-0.023235906183253975,-14.223499590158463,1.0032719373703003,97133.32666015625,0.094482421875,0.009137844
22528,61,11,364,-4.8995018005371094e-05,0.0003,32014.048828125,100,0.2,-0.025977982676704415,-14.250325098633766,1.0074942111968994,65178.649914550784,0.12041015625,0.010791679
24576,68,12,358,-0.00020813941955566406,0.0003,38473.76171875,110,0.2,-0.026478897006018087,-14.226779407262802,1.0017517805099487,83021.70599365234,0.109521484375,0.010327833
26624,76,13,350,-8.285045623779297e-05,0.0003,30387.177734375,120,0.2,-0.024763317799079233,-14.24051982164383,1.0081356763839722,82153.62993164062,0.11015625,0.010383365
28672,83,14,344,-0.00024509429931640625,0.0003,34311.4375,130,0.2,-0.027823477028869094,-14.22975592315197,1.0010279417037964,58850.537426757815,0.11533203125,0.0109134335
30720,90,15,340,9.006261825561523e-05,0.0003,40718.41015625,140,0.2,-0.027432643942302094,-14.221678304672242,1.005320429801941,84301.28500976562,0.117919921875,0.011210522
32768,97,16,336,3.4868717193603516e-05,0.0003,42360.75,150,0.2,-0.024677667778450995,-14.252370110154152,1.0078405141830444,95894.09167480469,0.108740234375,0.010496257
34816,104,17,332,2.1755695343017578e-05,0.0003,37285.16796875,160,0.2,-0.02639205721206963,-14.260931977629662,1.007692575454712,83557.31760253906,0.134228515625,0.010835857
36864,112,18,328,-0.002261638641357422,0.0003,50799.8046875,170,0.2,-0.022026129570440388,-14.240061873197556,1.00387442111969,101105.10083007812,0.0984375,0.010034392
