time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/n_updates,train/value_loss,train/explained_variance,train/std,train/clip_range,train/clip_fraction,train/loss,train/entropy_loss,train/learning_rate,train/approx_kl,train/policy_gradient_loss
1,453,4,2048,,,,,,,,,,,
2,422,9,4096,10,112854.50280761719,-0.0009472370147705078,1.0025323629379272,0.2,0.100341796875,63300.94921875,-14.206710970401764,0.0003,0.009797802,-0.021873650449560956
3,413,14,6144,20,103320.62065429687,0.00010269880294799805,1.0006741285324097,0.2,0.082080078125,50926.2265625,-14.203878259658813,0.0003,0.008809936,-0.01770828087173868
4,405,20,8192,30,97102.819921875,0.00943535566329956,1.0025168657302856,0.2,0.045556640625,47433.8203125,-14.205442142486572,0.0003,0.0064768274,-0.012189846535329707
5,400,25,10240,40,85242.40206298829,0.0003426671028137207,1.0044554471969604,0.2,0.07607421875,48688.8984375,-14.221765780448914,0.0003,0.008445643,-0.01582541329844389
6,395,31,12288,50,84349.71462402344,0.004183709621429443,1.0053271055221558,0.2,0.076416015625,40277.9296875,-14.238310733437539,0.0003,0.008672388,-0.018951030162861572
7,388,36,14336,60,80082.0666015625,0.0020183920860290527,1.0125001668930054,0.2,0.07568359375,32193.6328125,-14.283222171664239,0.0003,0.008452708,-0.020267441050964407
8,381,42,16384,70,96689.67915039063,0.00022780895233154297,1.015458345413208,0.2,0.092822265625,41704.81640625,-14.32841129899025,0.0003,0.008712685,-0.019695042647072114
9,374,49,18432,80,107152.19877929687,0.0005646347999572754,1.0176422595977783,0.2,0.08759765625,47437.0546875,-14.3517931163311,0.0003,0.008980738,-0.017629184338147752
10,366,55,20480,90,92918.74963378906,3.987550735473633e-05,1.0232290029525757,0.2,0.081494140625,52119.8828125,-14.39503883421421,0.0003,0.008307823,-0.020491095713805408
11,361,62,22528,100,88161.95675048829,7.581710815429688e-05,1.0219305753707886,0.2,0.108203125,42813.51171875,-14.411025038361549,0.0003,0.010489737,-0.025368221758981235
12,356,69,24576,110,82621.82287597656,-0.0011391639709472656,1.0254462957382202,0.2,0.10654296875,32971.48046875,-14.42772834300995,0.0003,0.009695603,-0.024898018900421447
13,350,75,26624,120,112295.7917236328,2.4199485778808594e-05,1.0280989408493042,0.2,0.10068359375,55047.5234375,-14.457747721672058,0.0003,0.009802653,-0.023018994511221535
14,345,82,28672,130,89381.37292480469,9.238719940185547e-06,1.0302428007125854,0.2,0.10703125,40721.31640625,-14.477948093414307,0.0003,0.00961514,-0.025086429133079947
15,341,90,30720,140,100475.3388671875,1.728534698486328e-05,1.0311769247055054,0.2,0.08662109375,52241.44921875,-14.487911042571067,0.0003,0.00890202,-0.02406146483554039
16,336,97,32768,150,85411.06958007812,4.9233436584472656e-05,1.0338906049728394,0.2,0.099951171875,45555.41015625,-14.51325944364071,0.0003,0.00946377,-0.025270591178559697
17,332,104,34816,160,103743.92158203125,-0.0005890130996704102,1.0378036499023438,0.2,0.10302734375,52806.921875,-14.544477486610413,0.0003,0.0105379615,-0.023102033481700347
18,327,112,36864,170,69467.5969482422,-3.933906555175781e-06,1.042341947555542,0.2,0.137548828125,36444.35546875,-14.586187365651131,0.0003,0.011496022,-0.028276910525164567
19,323,120,38912,180,61518.86405029297,-7.152557373046875e-07,1.0432329177856445,0.2,0.12490234375,31387.515625,-14.608882135152816,0.0003,0.010950001,-0.026980691788776313
20,318,128,40960,190,74959.192578125,4.5239925384521484e-05,1.0435526371002197,0.2,0.12216796875,45027.79296875,-14.615156352519989,0.0003,0.011639746,-0.0278912806767039
21,314,136,43008,200,90438.28671875,2.300739288330078e-05,1.0371872186660767,0.2,0.1052734375,49385.37890625,-14.578004813194275,0.0003,0.010630459,-0.02528213552723173
22,309,145,45056,210,80260.31254882812,-0.005497097969055176,1.0408623218536377,0.2,0.1271484375,43638.34375,-14.570400154590606,0.0003,0.011101121,-0.02514542531571351
23,306,153,47104,220,103953.6505859375,-0.012310981750488281,1.0399311780929565,0.2,0.10361328125,56071.734375,-14.580216246843339,0.0003,0.010240769,-0.02579790014133323
