time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/entropy_loss,train/clip_range,train/loss,train/std,train/approx_kl,train/value_loss,train/explained_variance
4,1,469,2048,,,,,,,,,,,
9,2,438,4096,10,-0.022970777889713644,0.100732421875,0.0003,-14.190716883540153,0.2,70942.34375,1.0000022649765015,0.008932512,130930.068359375,0.0004985928535461426
14,3,427,6144,20,-0.016361841256730257,0.074169921875,0.0003,-14.193359166383743,0.2,47083.4765625,1.0003935098648071,0.007960868,98590.26520996094,-0.0064896345138549805
19,4,415,8192,30,-0.013300772430375219,0.052734375,0.0003,-14.204595893621445,0.2,42643.234375,1.0024532079696655,0.0074898056,93739.30444335938,0.0009421110153198242
25,5,400,10240,40,-0.018011844824650326,0.07255859375,0.0003,-14.207907983660698,0.2,46734.39453125,1.0009087324142456,0.0079170875,91228.61877441406,0.005739033222198486
31,6,392,12288,50,-0.02337286329129711,0.0978515625,0.0003,-14.209477800130845,0.2,46052.33203125,1.0022186040878296,0.009718143,85481.13420410156,0.0023386478424072266
36,7,387,14336,60,-0.019589843548601493,0.096728515625,0.0003,-14.20184234380722,0.2,59529.421875,1.0002316236495972,0.00975487,116982.16677246094,-7.998943328857422e-05
42,8,381,16384,70,-0.021594329475192353,0.09306640625,0.0003,-14.220759883522987,0.2,55608.171875,1.0053492784500122,0.009651882,106671.36823730469,3.272294998168945e-05
49,9,375,18432,80,-0.021885626096627676,0.109716796875,0.0003,-14.2576439589262,0.2,62167.81640625,1.008489966392517,0.010713574,120144.86064453125,0.00010800361633300781
55,10,368,20480,90,-0.025400890264427288,0.100634765625,0.0003,-14.298475217819213,0.2,38676.37109375,1.0123426914215088,0.010441096,76839.94820556641,-0.00014460086822509766
62,11,362,22528,100,-0.02187348586448934,0.088720703125,0.0003,-14.320793104171752,0.2,53326.015625,1.013850212097168,0.009396674,116768.11325683593,-9.5367431640625e-05
68,12,357,24576,110,-0.024054343017633074,0.09296875,0.0003,-14.325063443183899,0.2,45187.203125,1.0138698816299438,0.009064477,95172.5359375,-0.00321197509765625
75,13,351,26624,120,-0.024012382034561595,0.103564453125,0.0003,-14.321460208296775,0.2,37945.38671875,1.013170838356018,0.010119123,81374.50234375,-7.724761962890625e-05
83,14,343,28672,130,-0.020898578612832352,0.073876953125,0.0003,-14.328891187906265,0.2,41005.78515625,1.0153515338897705,0.008689805,93254.48203125,2.6524066925048828e-05
