time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/entropy_loss,train/learning_rate,train/loss,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/std,train/n_updates,train/value_loss,train/clip_range
2048,1,3,566,,,,,,,,,,,
4096,2,7,520,-14.194106259942055,0.0003,42868.8046875,0.00016933679580688477,0.1177734375,-0.024076283293834422,0.009713677,1.0005362033843994,10,87148.15073242187,0.2
6144,3,12,498,-14.191657462716103,0.0003,53940.1953125,-0.001229405403137207,0.066943359375,-0.015725354527239686,0.007843504,0.9998934864997864,20,104479.42595214843,0.2
8192,4,17,477,-14.190696156024933,0.0003,46590.35546875,0.009890496730804443,0.041552734375,-0.013168177788611502,0.007213221,1.0004240274429321,30,96186.81330566407,0.2
10240,5,21,469,-14.19838751554489,0.0003,39985.7890625,0.006765305995941162,0.06806640625,-0.017324566113529727,0.008244176,1.0013635158538818,40,76379.1702758789,0.2
12288,6,26,461,-14.222108697891235,0.0003,31857.705078125,0.025272369384765625,0.095068359375,-0.020159503136528655,0.00964505,1.005079984664917,50,64816.519360351565,0.2
14336,7,31,451,-14.25950704216957,0.0003,33826.20703125,0.0007211565971374512,0.086083984375,-0.021205990578164347,0.008611418,1.0085784196853638,60,72895.09729003906,0.2
16384,8,36,443,-14.290009811520576,0.0003,45770.0234375,0.0003191828727722168,0.101806640625,-0.019941446604934753,0.009572613,1.0114161968231201,70,89446.60065917969,0.2
18432,9,42,436,-14.333487531542778,0.0003,42279.65625,0.0012517571449279785,0.0876953125,-0.021974750314257108,0.00909506,1.0168768167495728,80,82259.82172851563,0.2
20480,10,47,429,-14.364948743581772,0.0003,39167.9453125,-0.0020869970321655273,0.085791015625,-0.021129177637340034,0.008965498,1.0184746980667114,90,73716.5021118164,0.2
22528,11,53,421,-14.384766978025436,0.0003,42399.83984375,0.00013911724090576172,0.116162109375,-0.025535792544542347,0.009925075,1.0210025310516357,100,79412.54630126953,0.2
24576,12,59,414,-14.407062751054763,0.0003,51789.6953125,2.384185791015625e-07,0.096728515625,-0.022001182852545754,0.008832099,1.0226274728775024,110,105890.02431640626,0.2
26624,13,65,408,-14.416291320323944,0.0003,29635.20703125,-0.0004216432571411133,0.102685546875,-0.024757202065666208,0.009388458,1.023877501487732,120,67134.97158203126,0.2
28672,14,71,401,-14.427105268836021,0.0003,34601.50390625,4.172325134277344e-06,0.097509765625,-0.024933125080133324,0.009686947,1.0252326726913452,130,78117.29674072265,0.2
30720,15,77,394,-14.422539579868317,0.0003,40808.6640625,2.0682811737060547e-05,0.08642578125,-0.023636460812122097,0.009721432,1.023323655128479,140,87643.29957275391,0.2
32768,16,84,388,-14.426295590400695,0.0003,27253.06640625,1.71661376953125e-05,0.12001953125,-0.02786469726415817,0.01120928,1.0238909721374512,150,63099.01551513672,0.2
34816,17,91,381,-14.44298488497734,0.0003,45466.80078125,-5.602836608886719e-06,0.131884765625,-0.029432690306566655,0.011585145,1.0274317264556885,160,92342.385546875,0.2
36864,18,98,374,-14.44433669745922,0.0003,41564.12109375,-0.0007266998291015625,0.092333984375,-0.024717097755637952,0.010320083,1.0247538089752197,170,91845.57888183594,0.2
38912,19,105,368,-14.42823455631733,0.0003,38159.875,0.00014859437942504883,0.115234375,-0.028794287356140556,0.0115257725,1.0238196849822998,180,75043.37401123047,0.2
40960,20,113,361,-14.473443442583084,0.0003,38490.55859375,4.696846008300781e-05,0.08740234375,-0.023178929155983498,0.009608739,1.032311201095581,190,70122.74019775391,0.2
43008,21,120,355,-14.522744342684746,0.0003,33550.421875,8.64267349243164e-06,0.1103515625,-0.028005362992553275,0.010638606,1.035504937171936,200,68442.13858642578,0.2
45056,22,129,348,-14.554293018579482,0.0003,31228.13671875,4.649162292480469e-06,0.10537109375,-0.02800209219858516,0.0110423695,1.0387519598007202,210,71137.32813720703,0.2
47104,23,137,343,-14.5990598320961,0.0003,46691.37890625,-5.841255187988281e-06,0.09951171875,-0.026206236574216744,0.010635161,1.0443828105926514,220,88503.30866699219,0.2
