time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/value_loss,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/clip_fraction,train/explained_variance,train/loss,train/std,train/n_updates
4,2048,474,1,,,,,,,,,,,
9,4096,434,2,0.03354554077377543,0.0003,0.2,-0.028373605539673007,-14.21542689204216,0.013394844,0.14033203125,-2.1189067363739014,-0.18091320991516113,1.0044533014297485,10
13,6144,441,3,0.011224040981323924,0.0003,0.2,-0.035266951023368166,-14.26088306605816,0.014101875,0.17294921875,-0.2928584814071655,-0.19736482203006744,1.0084863901138306,20
18,8192,446,4,0.006176224371301942,0.0003,0.2,-0.03528722286282573,-14.289312651753425,0.014678396,0.158203125,-2.199251413345337,-0.21537937223911285,1.0115207433700562,30
22,10240,449,5,0.003804774239324615,0.0003,0.2,-0.038711684526060705,-14.339321461319923,0.016344603,0.186767578125,-5.298285961151123,-0.2092258334159851,1.0169023275375366,40
27,12288,453,6,0.0025181896564390625,0.0003,0.2,-0.03929194738593651,-14.372356167435646,0.01595134,0.17880859375,-10.275506019592285,-0.18488562107086182,1.018975019454956,50
31,14336,454,7,0.0020350012004200836,0.0003,0.2,-0.037652185835759154,-14.40755191743374,0.014844581,0.155859375,-7.8202409744262695,-0.2060789167881012,1.0239019393920898,60
35,16384,455,8,0.0013766090416538646,0.0003,0.2,-0.03596645929501392,-14.445942550897598,0.016625036,0.19326171875,-1.6463508605957031,-0.18948504328727722,1.027659296989441,70
40,18432,457,9,0.0011527484262842335,0.0003,0.2,-0.029278994721244088,-14.497086465358734,0.017313708,0.184130859375,-6.549171447753906,-0.20565448701381683,1.0340322256088257,80
44,20480,457,10,0.000812978931253383,0.0003,0.2,-0.03718871794408187,-14.534302788972855,0.016539969,0.18349609375,-3.7269392013549805,-0.17662374675273895,1.0364012718200684,90
49,22528,458,11,0.0013639999639963208,0.0003,0.2,-0.04061575976666063,-14.552177554368972,0.018059585,0.20283203125,-3.7220096588134766,-0.21609582006931305,1.0365415811538696,100
53,24576,458,12,0.0008241339368851186,0.0003,0.2,-0.044643863369128664,-14.568712750077248,0.018776346,0.211083984375,-10.442545890808105,-0.21855947375297546,1.0409058332443237,110
57,26624,459,13,0.0005955615655693691,0.0003,0.2,-0.03700287003302947,-14.596484205126762,0.017437834,0.19404296875,-4.490678310394287,-0.20723819732666016,1.0432262420654297,120
62,28672,459,14,0.001096959838832845,0.0003,0.2,-0.03977833351818845,-14.625031054019928,0.0188371,0.196484375,-3.9810190200805664,-0.20670939981937408,1.045266032218933,130
66,30720,459,15,0.0006611104992771289,0.0003,0.2,-0.0418524094769964,-14.628658261895179,0.019203642,0.203515625,-6.8608784675598145,-0.2078530490398407,1.0457061529159546,140
71,32768,460,16,0.0006005927860769589,0.0003,0.2,-0.03879157801857218,-14.648470613360406,0.017703898,0.187890625,-7.359257698059082,-0.20055751502513885,1.0483912229537964,150
75,34816,459,17,0.0002930304437086306,0.0003,0.2,-0.0374235684867017,-14.691045731306076,0.018890548,0.205615234375,-2.9347386360168457,-0.18704168498516083,1.0545483827590942,160
80,36864,460,18,0.00039641338553337847,0.0003,0.2,-0.040733721226570194,-14.735962489247322,0.018780278,0.2078125,-4.770477294921875,-0.2101089209318161,1.0584537982940674,170
84,38912,460,19,0.00034845540099013304,0.0003,0.2,-0.04429370674479287,-14.744247278571128,0.021408353,0.21142578125,-6.7971110343933105,-0.19545362889766693,1.0575954914093018,180
88,40960,460,20,0.0003268446233505529,0.0003,0.2,-0.047779224027181044,-14.721334087848664,0.02367016,0.240478515625,-8.877525329589844,-0.22233735024929047,1.0544003248214722,190
93,43008,460,21,0.0002463366065512673,0.0003,0.2,-0.04132574037357699,-14.699376860260964,0.02345663,0.23837890625,-5.624001502990723,-0.2145809382200241,1.0532530546188354,200
97,45056,460,22,0.0003464996346110638,0.0003,0.2,-0.04275183259742334,-14.703461456298829,0.02365236,0.22392578125,-8.036687850952148,-0.2031303346157074,1.0534641742706299,210
102,47104,460,23,0.00026697043097101414,0.0003,0.2,-0.04085713599633891,-14.705751192569732,0.022929303,0.24150390625,-8.679912567138672,-0.19411511719226837,1.0536919832229614,220
106,49152,460,24,0.00031415495236615244,0.0003,0.2,-0.0390310445218347,-14.724059176445007,0.02086106,0.217724609375,-3.557236671447754,-0.19145263731479645,1.0577144622802734,230
