time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/explained_variance,train/std,train/clip_fraction,train/learning_rate,train/n_updates,train/value_loss,train/policy_gradient_loss,train/loss,train/entropy_loss,train/approx_kl,train/clip_range
501,2048,4,1,,,,,,,,,,,
470,4096,8,2,0.005266427993774414,1.0101698637008667,0.157080078125,0.0003,10,5031.061454772949,-0.022644592469441706,2368.192626953125,-14.249370789527893,0.014112126,0.2
474,6144,12,3,-0.0521397590637207,1.0150973796844482,0.104443359375,0.0003,20,5010.9288681030275,-0.023542043863562866,2398.02880859375,-14.315176805853843,0.009748118,0.2
475,8192,17,4,-0.25982844829559326,1.0128729343414307,0.079052734375,0.0003,30,4816.7022705078125,-0.01922513093741145,2222.968505859375,-14.328937077522278,0.009524707,0.2
477,10240,21,5,-0.16996634006500244,1.0153162479400635,0.073388671875,0.0003,40,4167.744518280029,-0.018952272892056497,1909.7030029296875,-14.328202494978905,0.010040089,0.2
476,12288,25,6,-0.15446698665618896,1.018296480178833,0.098583984375,0.0003,50,4207.47508392334,-0.018952436320250853,1874.9580078125,-14.356075498461724,0.011603564,0.2
477,14336,30,7,-0.04259312152862549,1.019942283630371,0.065966796875,0.0003,60,4080.5031227111817,-0.018888515431899577,1713.850830078125,-14.378047490119934,0.009741275,0.2
476,16384,34,8,-0.3125476837158203,1.0209105014801025,0.042431640625,0.0003,70,4293.520774078369,-0.015309301915112882,1796.501220703125,-14.39210448563099,0.00766675,0.2
476,18432,38,9,-0.27459263801574707,1.0229765176773071,0.089892578125,0.0003,80,3279.5782432556152,-0.016902519305585884,1324.030517578125,-14.404964786767959,0.013157326,0.2
478,20480,42,10,-0.23786377906799316,1.0199676752090454,0.100048828125,0.0003,90,3607.808879852295,-0.020320542799890973,1523.821533203125,-14.402566808462144,0.012334519,0.2
475,22528,47,11,-0.01057136058807373,1.0260709524154663,0.129052734375,0.0003,100,3124.204843902588,-0.02346616078284569,1218.25244140625,-14.4243343770504,0.012621407,0.2
476,24576,51,12,-0.14844584465026855,1.027121663093567,0.113134765625,0.0003,110,3522.6153663635255,-0.02151612559100613,1620.997314453125,-14.45459705889225,0.013261128,0.2
476,26624,55,13,-0.01041269302368164,1.0369348526000977,0.152197265625,0.0003,120,3760.604264831543,-0.02345117475488223,1638.729248046875,-14.507799199223518,0.015521122,0.2
477,28672,60,14,-0.08099448680877686,1.042000412940979,0.1599609375,0.0003,130,3100.54337310791,-0.026078971901733895,1318.1949462890625,-14.575990644097327,0.01744543,0.2
478,30720,64,15,0.0023351311683654785,1.052053451538086,0.203759765625,0.0003,140,2960.0172843933105,-0.030587273623677903,1236.3260498046875,-14.659713941812516,0.018951323,0.2
478,32768,68,16,0.001758873462677002,1.0608223676681519,0.170751953125,0.0003,150,2997.9979362487793,-0.027224193859728983,1268.019775390625,-14.74517864882946,0.016675593,0.2
479,34816,72,17,-0.0005242824554443359,1.0664488077163696,0.225244140625,0.0003,160,2889.048178100586,-0.02796476150979288,1235.421142578125,-14.811874961853027,0.021399925,0.2
478,36864,76,18,-0.0016028881072998047,1.072251319885254,0.194140625,0.0003,170,2734.4581718444824,-0.02745521343022119,1233.4302978515625,-14.863650584220887,0.017460214,0.2
479,38912,81,19,0.00018668174743652344,1.0808418989181519,0.17138671875,0.0003,180,2404.928726196289,-0.02587169950711541,1083.990478515625,-14.926641228795052,0.0153403925,0.2
480,40960,85,20,-0.0007163286209106445,1.0881356000900269,0.196240234375,0.0003,190,2925.6212867736817,-0.03127893885830417,1272.994873046875,-14.999868470430375,0.017686058,0.2
480,43008,89,21,0.00011485815048217773,1.0941888093948364,0.213671875,0.0003,200,2491.6298965454102,-0.026866845725453458,1164.5172119140625,-15.060719573497773,0.018525824,0.2
481,45056,93,22,-0.0017704963684082031,1.0963610410690308,0.181591796875,0.0003,210,2353.5603992462156,-0.027098666233359835,1098.938720703125,-15.091321185231209,0.015043072,0.2
481,47104,97,23,-0.00030934810638427734,1.1000150442123413,0.18876953125,0.0003,220,2407.9264961242675,-0.0283189233916346,1092.3125,-15.127661231160165,0.016869947,0.2
481,49152,102,24,-0.0003046989440917969,1.107865571975708,0.172509765625,0.0003,230,2489.2848731994627,-0.027280765314935708,1061.0830078125,-15.17433494925499,0.01399643,0.2
482,51200,106,25,-3.337860107421875e-05,1.1121816635131836,0.19697265625,0.0003,240,2581.3275096893312,-0.028074079856742172,980.023193359375,-15.23599931895733,0.019200005,0.2
482,53248,110,26,-9.09566879272461e-05,1.1246328353881836,0.196484375,0.0003,250,2024.5212558746339,-0.0263587898487458,894.1094970703125,-15.309543207287788,0.017904364,0.2
483,55296,114,27,-6.401538848876953e-05,1.1299476623535156,0.19638671875,0.0003,260,2193.6257652282716,-0.029683083947747945,952.1021728515625,-15.380964732170105,0.018570703,0.2
483,57344,118,28,-1.2278556823730469e-05,1.1347672939300537,0.17490234375,0.0003,270,1989.0216598510742,-0.021592321014031766,786.4188232421875,-15.428802153468132,0.017107373,0.2
483,59392,122,29,-0.0007289648056030273,1.1386953592300415,0.1951171875,0.0003,280,2394.433662414551,-0.02711161979386816,1567.264404296875,-15.464652448892593,0.01716844,0.2
484,61440,126,30,2.3186206817626953e-05,1.1426163911819458,0.218994140625,0.0003,290,1803.8478210449218,-0.0319845806225203,714.4534912109375,-15.503093126416207,0.016910538,0.2
484,63488,130,31,-1.800060272216797e-05,1.1485223770141602,0.1978515625,0.0003,300,1981.0879096984863,-0.029845190554624423,1046.9130859375,-15.54689689874649,0.017714303,0.2
